From;To;Resources;Network_type;tc_min;tc_max
CB;CH;ELECTRICITY;HVAC_LINE;0;0.370500
CH;CB;ELECTRICITY;HVAC_LINE;0;0.370500
CB;SC;ELECTRICITY;HVAC_LINE;0;1.023000
SC;CB;ELECTRICITY;HVAC_LINE;0;1.023000
CB;OR;ELECTRICITY;HVAC_LINE;0;0.325110
CB;PT;ELECTRICITY;HVAC_LINE;0;0.074000
PT;CB;ELECTRICITY;HVAC_LINE;0;0.074000
CB;LP;ELECTRICITY;HVAC_LINE;0;0.400100
LP;BN;ELECTRICITY;HVAC_LINE;0;0.105100
BN;LP;ELECTRICITY;HVAC_LINE;0;0.074000
LP;OR;ELECTRICITY;HVAC_LINE;0;0.130000
LP;CB;ELECTRICITY;HVAC_LINE;0;0.400100
OR;CB;ELECTRICITY;HVAC_LINE;0;0.325110
OR;PT;ELECTRICITY;HVAC_LINE;0;0.074000
PT;OR;ELECTRICITY;HVAC_LINE;0;0.074000
OR;LP;ELECTRICITY;HVAC_LINE;0;0.130000
PT;CH;ELECTRICITY;HVAC_LINE;0;0.218500
CH;PT;ELECTRICITY;HVAC_LINE;0;0.218500
CH;SC;ELECTRICITY;HVAC_LINE;0;0.015200
SC;BN;ELECTRICITY;HVAC_LINE;0;0.140040
BN;SC;ELECTRICITY;HVAC_LINE;0;0.140040
TJ;PT;ELECTRICITY;HVAC_LINE;0;0.325800
PT;TJ;ELECTRICITY;HVAC_LINE;0;0.325800
TJ;CH;ELECTRICITY;HVAC_LINE;0;0.142500
CH;TJ;ELECTRICITY;HVAC_LINE;0;0.142500
CB;SC;GAS;GAS_PIPELINE;0;5.812576
SC;CB;GAS;GAS_PIPELINE;0;5.812576
CB;CH;GAS;GAS_PIPELINE;0;0.253995
CH;CB;GAS;GAS_PIPELINE;0;0.253995
CB;OR;GAS;GAS_PIPELINE;0;2.466682
OR;CB;GAS;GAS_PIPELINE;0;2.466682
LP;OR;GAS;GAS_PIPELINE;0;2.176053
OR;LP;GAS;GAS_PIPELINE;0;2.176053
SC;CH;GAS;GAS_PIPELINE;0;0.527528
CH;SC;GAS;GAS_PIPELINE;0;0.527528
CH;PT;GAS;GAS_PIPELINE;0;0.251553
PT;CH;GAS;GAS_PIPELINE;0;0.251553
TJ;TJ-EP;GAS;GAS_PIPELINE;0;0.139209
TJ-EP;TJ;GAS;GAS_PIPELINE;0;0.139209
TJ;TJ-OC;GAS;GAS_PIPELINE;0;1.563046
TJ-OC;TJ;GAS;GAS_PIPELINE;0;1.563046
SC;SC-MI;GAS;GAS_PIPELINE;0;0.390761
SC-MI;SC;GAS;GAS_PIPELINE;0;0.390761
SC;SC-CQ;GAS;GAS_PIPELINE;0;1.944717
SC-CQ;SC;GAS;GAS_PIPELINE;0;1.944717
SC;SC-AS;GAS;GAS_PIPELINE;0;3.490292
SC-AS;SC;GAS;GAS_PIPELINE;0;3.490292
SC-CQ;SC-GB;GAS;GAS_PIPELINE;0;28.880625
SC-GB;SC-CQ;GAS;GAS_PIPELINE;0;28.880625
SC;SC-VC;GAS;GAS_PIPELINE;0;1.831694
SC-VC;SC;GAS;GAS_PIPELINE;0;1.831694
SC;SC-CC;GAS;GAS_PIPELINE;0;8.547906
SC-CC;SC;GAS;GAS_PIPELINE;0;8.547906
TJ-OC;SC-CC;GAS;GAS_PIPELINE;0;8.547906
SC-CC;TJ-OC;GAS;GAS_PIPELINE;0;8.547906
CB;LP;DIESEL;DIESEL_PIPELINE;0;0.033112
LP;CB;DIESEL;DIESEL_PIPELINE;0;0.033112
CB;OR;DIESEL;DIESEL_PIPELINE;0;0.033112
OR;CB;DIESEL;DIESEL_PIPELINE;0;0.033112
CB;SC;DIESEL;DIESEL_PIPELINE;0;0.005969
SC;CB;DIESEL;DIESEL_PIPELINE;0;0.005969
SC;SC-CC;DIESEL;DIESEL_PIPELINE;0;0.010374
SC-CC;SC;DIESEL;DIESEL_PIPELINE;0;0.010374
SC-CC;CH;DIESEL;DIESEL_PIPELINE;0;0.010232
CH;SC-CC;DIESEL;DIESEL_PIPELINE;0;0.010232
CH;PT;DIESEL;DIESEL_PIPELINE;0;0.007330
PT;CH;DIESEL;DIESEL_PIPELINE;0;0.007330
CB;LP;GASOLINE;GASOLINE_PIPELINE;0;0.210000
LP;CB;GASOLINE;GASOLINE_PIPELINE;0;0.210000
CB;OR;GASOLINE;GASOLINE_PIPELINE;0;0.210000
OR;CB;GASOLINE;GASOLINE_PIPELINE;0;0.210000
CB;SC;GASOLINE;GASOLINE_PIPELINE;0;0.037900
SC;CB;GASOLINE;GASOLINE_PIPELINE;0;0.037900
SC;SC-CC;GASOLINE;GASOLINE_PIPELINE;0;0.065900
SC-CC;SC;GASOLINE;GASOLINE_PIPELINE;0;0.065900
SC-CC;CH;GASOLINE;GASOLINE_PIPELINE;0;0.065000
CH;SC-CC;GASOLINE;GASOLINE_PIPELINE;0;0.065000
CH;PT;GASOLINE;GASOLINE_PIPELINE;0;0.046600
PT;CH;GASOLINE;GASOLINE_PIPELINE;0;0.046600
CB;LP;LPG;LPG_PIPELINE;0;0.088287
LP;CB;LPG;LPG_PIPELINE;0;0.088287
CB;OR;LPG;LPG_PIPELINE;0;0.088287
OR;CB;LPG;LPG_PIPELINE;0;0.088287
CB;SC;LPG;LPG_PIPELINE;0;0.015914
SC;CB;LPG;LPG_PIPELINE;0;0.015914
SC;SC-CC;LPG;LPG_PIPELINE;0;0.027661
SC-CC;SC;LPG;LPG_PIPELINE;0;0.027661
SC-CC;CH;LPG;LPG_PIPELINE;0;0.027282
CH;SC-CC;LPG;LPG_PIPELINE;0;0.027282
CH;PT;LPG;LPG_PIPELINE;0;0.019544
PT;CH;LPG;LPG_PIPELINE;0;0.019544
CB;LP;LFO;LFO_PIPELINE;0;0.008107
LP;CB;LFO;LFO_PIPELINE;0;0.008107
CB;OR;LFO;LFO_PIPELINE;0;0.008107
OR;CB;LFO;LFO_PIPELINE;0;0.008107
CB;SC;LFO;LFO_PIPELINE;0;0.001461
SC;CB;LFO;LFO_PIPELINE;0;0.001461
SC;SC-CC;LFO;LFO_PIPELINE;0;0.002540
SC-CC;SC;LFO;LFO_PIPELINE;0;0.002540
SC-CC;CH;LFO;LFO_PIPELINE;0;0.002505
CH;SC-CC;LFO;LFO_PIPELINE;0;0.002505
CH;PT;LFO;LFO_PIPELINE;0;0.001795
PT;CH;LFO;LFO_PIPELINE;0;0.001795
CB;LP;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
LP;CB;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
CB;OR;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
OR;CB;JET_FUEL;JET_FUEL_PIPELINE;0;0.008107
CB;SC;JET_FUEL;JET_FUEL_PIPELINE;0;0.001461
SC;CB;JET_FUEL;JET_FUEL_PIPELINE;0;0.001461
SC;SC-CC;JET_FUEL;JET_FUEL_PIPELINE;0;0.002540
SC-CC;SC;JET_FUEL;JET_FUEL_PIPELINE;0;0.002540
SC-CC;CH;JET_FUEL;JET_FUEL_PIPELINE;0;0.002505
CH;SC-CC;JET_FUEL;JET_FUEL_PIPELINE;0;0.002505
CH;PT;JET_FUEL;JET_FUEL_PIPELINE;0;0.001795
PT;CH;JET_FUEL;JET_FUEL_PIPELINE;0;0.001795
CB;SC;H2;H2_RETROFITTED;0;0
SC;CB;H2;H2_RETROFITTED;0;0
CB;SC;H2;H2_NEW;0;0
SC;CB;H2;H2_NEW;0;0
BN;BN-IT;ELECTRICITY;HVAC_LINE;0;0
BN-IT;BN;ELECTRICITY;HVAC_LINE;0;0
BN;BN-YC;ELECTRICITY;HVAC_LINE;0;0
BN-YC;BN;ELECTRICITY;HVAC_LINE;0;0
BN;PA-NA;ELECTRICITY;HVAC_LINE;0;0
PA-NA;BN;ELECTRICITY;HVAC_LINE;0;0
SC;SC-VL;ELECTRICITY;HVAC_LINE;0;0
SC-VL;SC;ELECTRICITY;HVAC_LINE;0;0
TJ;TJ-BE;ELECTRICITY;HVAC_LINE;0;0
TJ-BE;TJ;ELECTRICITY;HVAC_LINE;0;0
